Title,Instances_of_Study,Author_Name,2_Author_Name,3_Author_Name,4_Author_Name,Publication_Year,Genre,Publisher,Text_Awards,NYT_Bestseller
¡Yo!,1,"Alvarez, Julia",,,,1997,Novel,Algonquin Books,,N
"""4 Years and 1 Anniversary Are Enough for Me""",1,"Rodrigues, Darlene",,,,2007,Poetry,,,N/A
"""A Brief History of the Trans-Pacific Tunnel""",1,"Liu, Ken",,,,2016,Short Story(ies),Gallery/Saga Press,,N/A
"""A Doll of Our Own""",1,"Yoon, Cindy",,,,1994,Prose Nonfiction,A. Magazine,,N/A
"""A Fire in Fontana""",1,"Yamamoto, Hisaye",,,,1985,Prose Nonfiction,,,N/A
"""A Half Caste""",1,"Eaton, Winnifred",,,,1899,Prose Nonfiction,Frank Leslie's Popular Monthly (magazine),,N/A
"""A Perfect Life""",1,"Divakaruni, Chitra Banerjee",,,,1995,Short Story(ies),Anchor,,N/A
"""A Plea for the Chinaman""",1,"Eaton, Edith",,,,1896,Prose Nonfiction,Montreal Daily Star,,N/A
"""A Red Sweater""",1,"Ng, Fae Myenne",,,,1990,Short Story(ies),,Pushcart Prize,N/A
"""Abducted by Aliens""",1,"Light, Claire",,,,2010,Short Story(ies),Hyphen Magazine,,N/A
"""An Autumn Fan""",1,"Eaton, Edith",,,,1910,Short Story(ies),Independent Magazine,,N/A
"""Auntie Tsia Lays Dying""",1,"Chan, Jeffery Paul",,,,1971,Short Story(ies),Aion (magazine),,N/A
"""Away Down in Jamaica""",1,"Eaton, Edith",,,,1898,Short Story(ies),Metropolitan (magazine),,N/A
"""Beautiful Women""",1,"""Beautiful Women""",,,,2012,Short Story(ies),Penguin,,N
"""Beauty and Sadness""",1,"Song, Cathy",,,,1983,Poetry,Yale University Press,,N/A
"""Biag ni Lam-ang""",1,Phililippine Folklore,,,,,,,,N/A
"""Bie You Dong Tian: Another World Lies Beyond""",2,"Leong, Russell",,,,2011,Poetry,Amerasia Journal,,N/A
"""Black Korea""",1,Ice Cube,,,,1991,Music,Priority,,N/A
"""Bodhi Leaves""",1,"Leong, Russell",,,,2000,Short Story(ies),University of Washington Press,,N/A
"""Bread of Salt""",1,"Gonzalez, N. V. M.",,,,,Short Story(ies),University of Washington Press,,N/A
"""Bueno es culantro, pero no tanto""",1,"MacKay, Santiago",,,,1957,Short Story(ies),Distribuidora Lewis,,N/A
"""Carnival Queen""",1,"Hara, Mavis",,,,1993,Short Story(ies),W. Morrow,,N/A
"""Chang""",1,"Nunez, Sigrid",,,,1995,Short Story(ies),Picador,,N/A
"""Chino olvidado""",1,"Ortega, Antonio",,,,1945,Short Story(ies),,,N/A
"""Cunanan's Wake""",1,"Apostol, Gina",,,,,Short Story(ies),Penguin,,N/A
"""Dead Yellow Women""",1,"Hammett, Dashiell",,,,1947,Short Story(ies),Lawrence E. Spivak,,N/A
"""Division by Zero""",1,"Chiang, Ted",,,,1991,Short Story(ies),Tor Books,,N/A
"""Dome Poem""",1,"Jetñil-Kijiner, Kathy",,,,2018,Poetry,,,N/A
"""Edward Hopper's Western Motel, 1957""",1,"Cha, Theresa Hak Kyung",,,,,Poetry,Kaya Press,,N/A
"""Eggs of the World""",1,"Mori, Toshio",,,,1949,Short Story(ies),Caxton Printers,,N/A
"""El guardián del hielo""",1,"Watanabe, José",,,,,Poetry,,,N/A
"""El nieto""",1,"Watanabe, José",,,,,Poetry,,,N/A
"""Filipinas dentro de Cien Años""",1,"Rizal, José",,,,1889-1890,Prose Nonfiction,La Solidaridad (journal),,N/A
"""Footnote to Youth""",1,"Villa, José Garcia",,,,1933,Short Story(ies),Charles Scribner's Sons,,N/A
"""Four Views in Praise of Reality""",1,"Chang, Diana",,,,1955-1956,Poetry,The American Scholar (journal),,N/A
"""Fourth grade Ukus""",1,"Hara, Marie",,,,1994,Short Story(ies),Bamboo Ridge Press,,N/A
"""Gangnam Style""",1,Psy,,,,2012,Music,YG Entertainment,"MTV Europe Music Award, Korean Music Award, Billboard Music Award, and more",N/A
"""Get Rid of the X""",2,"Chin, Marilyn",,,,2002,Poetry,W. W. Norton & Company,,N/A
"""Guman""",1,Phililippine Folklore,,,,,,,,N/A
"""How I Got That Name""",1,"Chin, Marilyn",,,,1994,Poetry,Milkweed Editions,,N/A
"""I Become a Nisei""",1,"Noguchi, Isamu",,,,1942,Prose Nonfiction,Unpublished,,N/A
"""In the Land of the Free""",1,"Eaton, Edith",,,,1912,Short Story(ies),A.C. McClurg,,N/A
"""In Vietnam They Had Whores""",1,"Klay, Phil",,,,2014,Short Story(ies),Penguin,,N/A
"""Island Confinement"" [""Shimagomoru""]",1,"Sakiyama, Tami ",,,,1990,Novel,Bungeishunju,,N/A
"""Japanese Hamlet""",3,"Mori, Toshio",,,,1946,Short Story(ies),Pacific Citizen (newspaper),,N/A
"""Kelly""",1,"Truong, Monique",,,,1991,Short Story(ies),Amerasia Journal,,N/A
"""Kim""",1,"Monji, Jana",,,,1995,Short Story(ies),Anchor Books,,N/A
"""Ku Yum""",1,"Eaton, Edith",,,,1896,Short Story(ies),,,N/A
"""Labaw Donggon""",1,Phililippine Folklore,,,,,,,,N/A
"""Langakali""",1,"Thaman, Konai Helu",,,,1981,Poetry,Mana Publications,,N/A
"""Las palabras silenciosas""",1,"Arredondo, Ines",,,,1979,Short Story(ies),Joaquín Mortiz,,N/A
"""Letter to a Filipino Woman""",1,"Bulosan, Carlos",,,,1943,Prose Nonfiction,The New Republic,,N/A
"""Life as a Prayer""",2,"hayashi, reyna aiko leah lani ramolete",,,,2017,Poetry,,,N/A
"""Lin John""",1,"Eaton, Edith",,,,1899,Short Story(ies),A.C. McClurg,,N/A
"""Love and Honor and Pity and Pride and Compassion and Sacrifice""",3,"Le, Nam",,,,2008,Short Story(ies),Alfred A. Knopf,,N/A
"""Madame Butterfly""",1,"Long, John Luther",,,,1898,Short Story(ies),Century Magazine,,N/A
"""Mrs. Sen""",1,"Lahiri, Jhumpa",,,,1999,Short Story(ies),Houghton Mifflin,,N/A
"""Mrs. Spring Fragrance""",1,"Eaton, Edith",,,,1912,Short Story(ies),A.C. McClurg,,N/A
"""No Name Woman""",1,"Kingston, Maxine Hong",,,,1976,Prose Nonfiction,Alfred A. Knopf,,N/A
"""Notes for a Poem on Being Asian American""",1,"Okita, Dwight",,,,1992,Poetry,Tia Chucha Press,,N/A
"""On the Consequence of Sound""",1,"Dimacali, Timothy James M.",,,,2015,Short Story(ies),Rosarium Publishing,,N/A
"""One Day in Pleasntville""",1,"Pai, Hsien-yung",,,,1964,Short Story(ies),,,N/A
"""Parts""",1,"Yamanaka, Lois-Ann",,,,1993,Poetry,Bamboo Ridge Press,,N/A
"""Phoenix Eyes""",1,"Leong, Russell",,,,2000,Short Story(ies),University of Washington Press,,N/A
"""Pohnpei Outer Space""",1,"Kihleng, Emelihter",,,,2008,Poetry,University of Hawai'i Press,,N/A
"""Poor Ah Toy""",1,"Mote, Mary",,,,1882,Short Story(ies),,,N/A
"""Ratas y gaviotas""",1,"Watanabe, José",,,,,Poetry,,,N/A
"""Raunchy Asian Women""",1,"Son, Diana",,,,1993,Drama,Ohio Theatre,,N/A
"""Reminder for the Tenderhearted""",1,"trivedi-pathak, madhvi",,,,,,,,
"""Riding the Rails with Chickencoop Slim""",1,"Chin, Frank",,,,1977,Short Story(ies),,,N/A
"""Rose of Sharon""",1,"Lee, Marie G.",,,,2004,Short Story(ies),Candlewick Press,,N/A
"""Saint Malo: A Lacustrine Village in Louisiana""",1,"Hearn, Lafcadio",,,,1883,Prose Nonfiction,Harper's Weekly (magazine),,N/A
"""Seventeen Syllables""",2,"Yamamoto, Hisaye",,,,1988,Short Story(ies),Kitchen Table: Women of Color Press,,N/A
"""Shelter""",1,"Semitsu, Junichi",,,,2006,Poetry,,,N/A
"""Song of the Sad Guitar""",1,"Chin, Marilyn",,,,1994,Poetry,Milkweed Editions,,N/A
"""Story of Your Life""",3,"Chiang, Ted",,,,1998,Short Story(ies),Tor Books,Nebula Award,N/A
"""Tangled Kites""",1,"Eaton, Edith",,,,1908,Short Story(ies),New England Magazine,,N/A
"""The American Scholar""",1,"Emerson, Ralph Waldo",,,,1837,Prose Nonfiction,,,N/A
"""The Americanizing of Pau Tsu""",1,"Eaton, Edith",,,,1912,Short Story(ies),A.C. McClurg,,N/A
"""The Beauty""",1,"Jin, Ha",,,,2009,Short Story(ies),Pantheon,,
"""The Boat""",1,"Le, Nam",,,,2008,Short Story(ies),Alfred A. Knopf,,N/A
"""The Butterfly Thief""",1,"Jetñil-Kijiner, Kathy",,,,2017,Poetry,,,N/A
"""The Chinese in Haifa""",1,"Chan, Jeffery Paul",,,,1974,Short Story(ies),Howard University Press,,N/A
"""The Colors of Desire""",1,"Mura, David",,,,1995,Poetry,Doubleday,,N/A
"""The Day the Dancers Came""",1,"Santos, Bienvenido",,,,1955,Short Story(ies),Bookmark,Free Press Literary Award,N/A
"""The Dogeater""",1,"Kercheval, Jesse Lee",,,,1987,Short Story(ies),University of Missouri Press,Associated Writing Programs Award in Short Fiction,N/A
"""The Eat and Run Midnight People""",1,"Chin, Frank",,,,1988,Short Story(ies),Coffee House Press,,N/A
"""The Faintest Echo of Our Language""",1,"Lee, Chang-rae",,,,1993,Prose Nonfiction,New England Review (journal),,N/A
"""The Haunted Valley""",2,"Bierce, Ambrose",,,,1871,Short Story(ies),Overland Magazine,,N/A
"""The High-Heeled Shoes: A Memoir""",1,"Yamamoto, Hisaye",,,,1988,Short Story(ies),Kitchen Table: Women of Color Press,,N/A
"""The Immigrant""",1,"Hussein, Ameena",,,,,Short Story(ies),Perera Huseein Publishing House,,N/A
"""The Inferior Woman""",1,"Eaton, Edith",,,,1912,Short Story(ies),A.C. McClurg,,N/A
"""The Legend of Miss Sasagawara""",5,"Yamamoto, Hisaye",,,,1988,Short Story(ies),Kitchen Table: Women of Color Press,,N/A
"""The Meaning of Peace""",1,"Rodrigues, Darlene",,,,2007,Poetry,,,N/A
"""The Photograph""",1,"Xin, Bing",,,,1934,Short Story(ies),,,N/A
"""The Seventh Street Philosopher""",2,"Mori, Toshio",,,,1949,Short Story(ies),Caxton Printers,,N/A
"""The Shoyu Kid""",4,"Kaneko, Lonny",,,,1976,Short Story(ies),Amerasia Journal,,N/A
"""The Smuggling of Co""",1,"Eaton, Edith",,,,1912,Short Story(ies),A.C. McClurg,,N/A
"""The Story of One White Woman Who Married a Chinese""",2,"Eaton, Edith",,,,1912,Short Story(ies),A.C. McClurg,,N/A
"""The Summer of My Korean Soldier""",1,"Lee, Marie G.",,,,1994,Short Story(ies),Holt,,N/A
"""The Wisdom of the New""",1,"Eaton, Edith",,,,1912,Short Story(ies),A.C. McClurg,,N/A
"""The Word Love""",2,"Divakaruni, Chitra Banerjee",,,,1995,Short Story(ies),Anchor,,N/A
"""Tian Shan's Kindred Spirit""",1,"Eaton, Edith",,,,1912,Short Story(ies),A.C. McClurg,,N/A
"""Underground Christmas, Circa 1973""",1,"Feria, Dolores S.",,,,,Poetry,Glide Publications,,N/A
"""When Mr. Pirzada Came to Dine""",1,"Lahiri, Jhumpa",,,,1999,Short Story(ies),Houghton Mifflin,,N/A
"""Why Chinese Mothers Are Superior""",1,"Chua, Amy",,,,2011,Prose Nonfiction,Wall Street Journal,,N/A
"""Wichita Vortex Sutra""",1,"Ginsberg, Allen",,,,1966,Poetry,City Lights Books,,N/A
"""Women's Lib""",1,"Thaman, Konai Helu",,,,1974,Poetry,South Pacific Creative Arts Society,,N/A
"""Zhijiage zhi si""",1,"Pai, Hsien-yung",,,,,Short Story(ies),,,N/A
#12daysofrage,1,"Cho, Margaret",,,,2015,Social Media,,,N/A
100 Chinese Silences,1,"Yu, Timothy",,,,2016,Poetry,Les Figues Press,,N/A
12 Days,1,"Kim, June",,,,2006,Graphic Narrative,Tokyopop,,N/A
12-1-A,2,"Yamauchi, Wakako",,,,1982,Drama,East West Players,,N/A
3-Iron [빈집],1,"Kiduk, Kim",,,,2005,Film,Big Blue Film,Silver Lion Venice Film Festival,N/A
36 Views,2,"Iizuka, Naomi",,,,2001,Drama,Berkeley Repetory Theater,,N/A
A Beautiful Country,1,"Yew, Chay",,,,1998,Drama,Cornerstone Theatre Company,,N/A
A Bridge Between Us,1,"Shigekuni, Julie",,,,1995,Novel,Anchor Books,,N
A Cab Called Reliable,3,"Kim, Patti",,,,1997,Novel,St. Martin's Press,,N
A Carnivore's Inquiry,1,"Murray, Sabina",,,,2004,Novel,Grove,,N
A Child in Prison Camp,1,"Takashima, Shizuye",,,,1971,Prose Nonfiction,University of Toronto Press,,N/A
A Family Gathering,2,"Yasui, Lise",,,,1988,Film,,,N/A
A Feather on the Breath of God,1,"Nunez, Sigrid",,,,1995,Novel,Picador,,N
A Free Life,4,"Jin, Ha",,,,2007,Novel,Pantheon,,N
A Gesture Life,15,"Lee, Chang-rae",,,,1999,Novel,Riverhead Books,Asian American Literary Award,N
A Gift of the Emperor,1,"Park, Therese",,,,1997,Novel,Spinster's Ink,,N
A Good Fall,3,"Jin, Ha",,,,2009,Novel,Pantheon,,N
A Good Scent from a Strange Mountain,2,"Butler, Robert Olen",,,,1993,Short Story(ies),Henry Holt and Co.,Pulitzer Prize,N
A Japanese Nightingale,3,"Eaton, Winnifred",,,,1901,Novel,Harper and Bros,,N/A
A Language of Their Own,3,"Yew, Chay",,,,1994,Drama,Celebration Theatre,"George and Elisabeth Marton Playwriting Award, GLAAD Media Award",N/A
A Little Tiger in the Chinese Night: An Autobiography in Art,1,"Zhang, Song Nan",,,,1993,Children's Book,Tundra Books,,N/A
A Map of Betrayal,1,"Jin, Ha",,,,2014,Novel,Pantheon,,N
A Nostalgist's Map of America,1,"Ali, Agha Shahid",,,,1991,Poetry,W. W. Norton & Company,,N/A
A Person of Interest,2,"Choi, Susan",,,,2008,Novel,Viking Press,,N
A Play,1,"Kneubuhl, John",,,,1990,Drama,,,N/A
A Superior Man,1,"Yee, Paul",,,,2015,Novel,Arsenal Pulp Press,,N
A Tale for the Time Being,9,"Ozeki, Ruth",,,,2013,Novel,Viking,"Yasnaya Polyana Literary Award, Dos Passos Prize, Los Angeles Times Book Prize, and more",N
A Tale of Two Worlds,1,"Lloyd, Frank",,,,1921,Film,Goldwyn Pictures,,N/A
A Thousand Years of Good Prayers,1,"Li, Yiyun",,,,2005,Short Story(ies),Random House,"Frank O'Connor International Short Story Award, Guardian First Book Award, California Book Award",N
A Thrice Told Tale,1,"Wolf, Margery",,,,1992,Prose Nonfiction,Stanford University Press,,N/A
A Tiger in the Kitchen,1,"Tan, Cheryl Lu-Lien",,,,2011,Prose Nonfiction,Hyperion,,N/A
A Village Called Versailles,1,"Chiang, S. Leo",,,,2009,Film,New Day Films,"Audience Award Best Feature Documentary New Orleans Film Festival, Call to Action Award LA Asian Pacific Film Festival, Audience Award San Francisco International Asian American Film Festival, and more",N/A
a.k.a. Don Bonus,1,"Nakasako, Spencer",,,,1995,Film,,,N/A
Adolf [アドルフに告ぐ],1,"Tezuka, Osamu",,,,1983-1985,Graphic Narrative,Bungeishunju,,N/A
Advantageous,2,"Phang, Jennifer",,,,2015,Film,Netflix,Sundance Film Festival Special Jury Prize Dramatic,N/A
After the War/After the Blues,1,"Gotanda, Philip Kan",,,,2007,Drama,American Conservatory Theater,,N/A
"Again, Letters to a Friend [Lại thư gửi bạn]",1,Võ Phiến,,,,,Prose Nonfiction,,,N/A
"Ah, Wilderness!",1,"O'Neill, Eugene",,,,1933,Drama,Broadway,,N/A
Aiiieeeee!: An Anthology of Asian American Writers,10,"Chin, Frank","Chan, Jeffery Paul","Inada, Lawson Fusao","Wong, Shawn",1974,Anthology,Howard University Press,,N/A
All I Asking for Is My Body,3,"Murayama, Milton",,,,1975,Novel,Supa Press,American Book Award,N
All Over Creation,3,"Ozeki, Ruth",,,,2003,Novel,Viking,American Book Award,N
Aloft,3,"Lee, Chang-rae",,,,2004,Novel,Riverhead Books,,Y
"Aloha, Kanani",1,"Yee, Lisa","Schwartz, Stephen",,,2011,Novel,American Girl Publishing,,N
America Is in the Heart,26,"Bulosan, Carlos",,,,1946,Novel,Harcourt,,N
America through the Spectacles of an Oriental Diplomat,1,"Wu, Tingfang",,,,1914,Prose Nonfiction,Frederick Stokes Company,,N/A
America's Best Dance Crew (ABDC),1,"Schwartz, Howard","Schwartz, Karen",,,2008-2015,Television,MTV,,N/A
American Born Chinese,9,"Yang, Gene Luen",,,,2006,Graphic Narrative,First Second Books,"Eisner Award, Michael L. Printz Award, Chinese American Librarians Association Best Book Award, and more",N/A
American in Disguise,2,"Okimoto, Daniel I.",,,,1971,Prose Nonfiction,Skouras Pictures,,N/A
American Indian Stories,1,Zitkála-Šá,,,,1921,Short Story(ies)/Prose Nonfiction,Hayworth Publishing House,,N/A
American Mosaic,1,"Morrison, Joan","Zabusky, Charlotte",,,1980,Prose Nonfiction,Dutton,,N/A
American Son,6,"Roley, Brian Ascalon",,,,2001,Novel,W. W. Norton & Company,,N
American Sons,1,"Okazaki, Steven",,,,1994,Film,PBS,,N/A
American Visa,1,"Ping, Wang",,,,1994,Short Story(ies),Coffee House Press,,N
American Woman,4,"Choi, Susan",,,,2003,Novel,Harper Perennial,,N
Americanah,1,"Adichie, Chimamanda Ngozi",,,,2013,Novel,Knopf Doubleday,"National Book Critics Circle Award for Fiction, The Chicago Tribune Heartland Prize for Fiction",N
Among the White Moon Faces,8,"Lim, Shirley Geok-lin",,,,1996,Prose Nonfiction,Feminist Press,American Book Award,N/A
An American Brat,2,"Sidhwa, Bapsi",,,,1993,Novel,Milkweed Editions,,N
"An Asian Anthropologist in the South: Field Experiences with Blacks, Indians, and Whites",1,"Kim, Choong Soon",,,,1977,Prose Nonfiction,University of Tennesse Press,,N/A
Analogue: A Hate Story,1,Christine Love,,,,2012,Video Game,,,N/A
And China Has Hands,5,"Tsiang, H. T.",,,,1937,Novel,Robert Speller Books,,N
And Justice For All,1,"Tateishi, John",,,,,Prose Nonfiction,Random House,,N/A
And the Soul Shall Dance,3,"Yamauchi, Wakako",,,,1977,Drama,East West Players,,N/A
And Then Entwine,1,"Ravine, Jai Arun",,,,2011,Poetry,Tinfish Press,,N/A
Angry Asian America,1,,,,,,,,,
Anil's Ghost,1,"Ondaatje, Michael",,,,2000,Novel,McClelland & Stewart,,Y
Anime Wong,1,"Yamashita, Karen Tei",,,,2014,Drama,Coffee House Press,,N/A
Anthony Bourdain: Parts Unknown,1,,,,,2013,Television,CNN,"Primetime Emmy Award, Critics Choice Television Award, Peabody Award, and more",N/A
"Apparatus, Cinematographic Apparatus: Selected Writings",1,"Cha, Theresa Hak Kyung",,,,1981,Prose Nonfiction,Tanam Press,,N/A
Arranged Marriage,1,"Divakaruni, Chitra Banerjee",,,,1995,Short Story(ies),Anchor,American Book Award,N
Asa ga kimashita (Morning Has Broken),1,"Houston, Velina Hasu",,,,1982,Drama,East West Players,,N/A
Asian Pride Porn,1,"Pak, Greg",,,,2000,Film,,,N/A
Ask Me No Questions,1,"Budhos, Marina Tamar",,,,2006,Novel,Atheneum Books for Young Readers,"Inaugural James Cook Teen Book Award, ALA Best Book for Young Adults & Notable, Kirkus Reviews Best Children’s Book, and more",N
Assimilation,1,"Kurup, Shishir",,,,1992,Drama,Mark Taper Forum,,N/A
At the Vanishing Point,1,"Iizuka, Naomi",,,,2004,Drama,,,N/A
Atomik Aztex,2,"Foster, Sesshu",,,,2005,Novel,City Light Books,,N
Attar of Roses,1,"Naqvi, Tahira",,,,1997,Short Story(ies),Lynne Rienner,,N
Autumn Leaves [秋叶 ],1,"Zi, Ouyang",,,,1969,Short Story(ies),,,N
Avatar: The Last Airbender,1,"DiMartino, Michael Dante",,,,2005-2008,Television,Nickelodeon,"Pulcinella Award, Peabody Award, Annie Award, and more",N/A
Bamboo Among the Oaks: Contemporary Writing by Hmong Americans,1,"Moua, Mai Neng",,,,2002,Anthology,Minnesota Historical Society Press,,N/A
Bananaheart and Other Stories,1,"Hara, Marie",,,,1994,Short Story(ies),Bamboo Ridge Press,,N/A
Bangla East Side,1,"Khurana, Sarita","Alam, Fariba",,,2004,Film,,,N/A
Bankūbā no Asahi,1,"Ishii, Yuya",,,,2014,Film,Toho,People's Choice Award Vancouver International Film Festival,
Barefoot Gen [はだしのゲン],1,"Nakazawa, Keiji",,,,1973-1987,Graphic Narrative,Weekly Shonen Jump (magazine),,N/A
Battle Hymn of the Tiger Mother,5,"Chua, Amy",,,,2011,Prose Nonfiction,Penguin,,N/A
Battleship,1,"Berg, Peter",,,,2012,Film,Universal Pictures,,N/A
Baumgartner's Bombay,1,"Desai, Anita",,,,1988,Novel,Vintage,,N
Before the War,2,"Inada, Lawson Fusao",,,,1971,Poetry,Morrow,,N/A
Before We Were Free,1,"Alvarez, Julia",,,,2002,Novel,Knopf,Pure Belpré Award,N
Behold the Many,1,"Yamanaka, Lois-Ann",,,,2006,Novel,"Farrar, Strauss & Giroux",,N
Better Luck Tomorrow,4,"Lin, Justin",,,,2002,Film,Paramount Pictures,,N/A
BFE,4,"Cho, Julia",,,,2005,Drama,Playwrights Horizons,,N/A
Bhowani Junction,1,"Cukor, George",,,,1956,Film,Metro-Goldwyn-Mayer,,N/A
Big Head,1,"Uyehara, Denise",,,,2003,Drama,,,N/A
Big Trouble in Little China,1,"Carpenter, John",,,,1986,Film,Twentieth Century Fox,,N/A
Bitter Cane,1,"Lim, Genny",,,,1991,Drama,,,N/A
Bitter in the Mouth,4,"Truong, Monique",,,,2010,Novel,Random House,,N
Blade Runner,2,"Scott, Ridley",,,,1982,Film,Warner Brothers,Academy Awards,N/A
Blood and Iron,1,"Yee, Paul",,,,2010,Novel,Scholastic,,N
Blood Music,1,"Bear, Greg",,,,1985,Novel,Arbor House,"Hugo Award, Nebula Award",N
Blu's Hanging,12,"Yamanaka, Lois-Ann",,,,1997,Novel,"Farrar, Strauss & Giroux","Asian American Literary Award, Association for Asian American Studies Book Award (later revoked)",N
Bollywood/Hollywood,1,"Mehta, Deepa",,,,2002,Film,Mongrel Media,,N/A
Bombay Dreams,1,"Syal, Meera","Meehan, Thomas",,,2002,Drama,Broadway Theater,,N/A
Bone,11,"Ng, Fae Myenne",,,,1993,Novel,Hyperion,,N
Bontoc Eulogy,2,"Fuentes, Marlon",,,,1995,Film,Corporation for Public Broadcasting,,N/A
Border Brujo,1,"Gómez-Peña, Guillermo",,,,1988,Drama,International Theatre Festival of the Americas,,N/A
Borrowed Love Poems,1,"Yau, John",,,,2002,Poetry,Penguin,,N/A
Bound Feet and Western Dress,1,"Chang, Pang-Mei Natasha",,,,1996,Prose Nonfiction,Anchor Books,,N/A
Boxers,1,"Yang, Gene Luen",,,,2013,Graphic Narrative,First Second Books,Los Angeles Times Book Prize,N/A
Brazil-Maru,1,"Yamashita, Karen Tei",,,,1992,Novel,Coffee House Press,,N
Breakfast at Tiffany's,1,"Capote, Truman",,,,1958,Novel,"Esquire Magazine, Random House",,Y
Breakfast at Tiffany's,1,"Edwards, Blake",,,,1961,Film,Paramount Pictures,"Academy Award, Writers Guild of America Award, David di Donatello Award",N/A
Brown: The Last Discovery of America,1,"Rodriguez, Richard",,,,,Prose Nonfiction,Viking,,N/A
Buddha Bandits Down Highway 99,1,"Hongo, Garrett",,,,1978,Poetry,Buddhahead Press,,N/A
Bullet in the Head,1,"Woo, John",,,,1990,Film,Golden Princess Film Production Co.,,N/A
Burning Daylight,1,"Swain, Rachael","Coulibaly, Serge Aimé","Pigram, Dalisa",,2009,,,,
Burning Vision,1,"Clement, Marie",,,,,Drama,Firehall Arts Centre,,N/A
Burnt Bread and Chutney,1,"Delman, Carmit",,,,2002,Prose Nonfiction,Random House,,N/A
Butterfly Soup,1,"Lei, Brianna",,,,2017,Video Game,,,N/A
Calcutta Calling,1,"Khokha, Sasha",,,,2006,Film,,,N/A
Camp Notes,1,"Yamada, Mitsuye",,,,1976,Poetry,Women of Color Press,,N/A
Cantos,1,"Pound, Ezra",,,,1925,Poetry,Three Mountains Press,,N/A
Caste and Outcast,2,"Mukerji, Dhan Gopal",,,,1923,Prose Nonfiction,The Overland Monthly (magazine),,N/A
Catfish and Mandala,5,"Pham, Andrew X.",,,,1999,Prose Nonfiction,Farrar Straus Giroux,,N/A
Cathay,2,"Pound, Ezra",,,,1915,Poetry,Elkin Matthews,,N/A
Cereus Blooms at Night,3,"Mootoo, Shani",,,,1996,Novel,Grove/Atlantic,,N
Certainty,1,"Thien, Madeleine",,,,2006,Novel,McClelland & Stewart,,N
Chambala era un camino,1,"Moromisato, Doris",,,,1999,Poetry,NoEvas Editoras,,N/A
Chan Is Missing,4,"Wang, Wayne",,,,1982,Film,New Yorker Films,Los Angeles Film Critics Association Award,N/A
Chang(e),1,"Kim, Soomi",,,,2017,Drama,National Asian American Theater Festival,,N/A
Charlotte Sometimes,3,"Byler, Eric",,,,2002,Film,Visionbox Pictures,,N/A
Chemistry,1,"Wang, Weike",,,,2017,Novel,Knopf,"PEN/Hemingway Award, John C. Zacharis Award Ploughshares",N
Cherrybomb,1,"Foronda, Ernesto",,,,1998,Film,,,N/A
