Title,Instances_of_Study,Author_Name,2_Author_Name,3_Author_Name,4_Author_Name,Publication_Year,Genre,Publisher,Text_Awards,NYT_Bestseller
Chijiku o mawasuru chikara,1,"Howe, James Wong",,,,1930,Film,Hollywood Nippon Talkie Company,,N/A
Child of Two Worlds,2,"Reyes, Norman",,,,1995,Prose Nonfiction,Three Continents Press,,N/A
China as I See It,1,"Buck, Pearl",,,,1970,Prose Nonfiction,John Day Company,,N
China Boy,2,"Lee, Gus",,,,1991,Novel,Dutton Books,,N
China Dolls,2,"Yu, Michelle","Kan, Blossom",,,2007,Novel,St. Martin's Press,,N
China Gate,1,"Fuller, Samuel",,,,1957,Film,20th Century Fox,,N/A
China Men,23,"Kingston, Maxine Hong",,,,1980,Prose Nonfiction,Alfred A. Knopf,National Book Award,N/A
China: Land of My Father,1,"Lowe, Felicia",,,,1979,Film,PBS,,N/A
Chinatown Family,4,"Lin, Yutang",,,,1948,Novel,John Day,,N
Chinatown Nights,1,"Wellman, William A.",,,,1929,Film,Paramount Pictures,,N/A
Chinese American: Burden and Prize,1,"Wong, Jade Snow",,,,,Prose Nonfiction,unpublished,,N/A
Chinese Cinderella,1,"Mah, Adeline Yen",,,,1999,Prose Nonfiction,Delacorte,,N/A
Chinese Series,1,"Brakhage, Stan",,,,2003,Film,,,N/A
Chinese World,1,"Lee, Dai-ming",,,,1956,Prose Nonfiction,,,N/A
Ching Chong Chinaman,1,"Yee, Lauren",,,,2008,Drama,Impact Theatre Berkeley,,N/A
Chinglish,1,"Hwang, David Henry",,,,2011,Drama,Goodman Theatre,,N/A
Chinoiserie,1,"Chong, Ping",,,,,,,,
Chiquita Banana,1,"Hagedorn, Jessica",,,,1972,Drama,Third World Communications,,N/A
Chorus of Mushrooms,2,"Goto, Hiromi",,,,1994,Novel,Newest Press,,N
Chroniques Birmanes,1,"Delisle, Guy",,,,2007,Graphic Narrative,Drawn and Quarterly,,N/A
Circle,1,"Chang, Victoria",,,,2005,Poetry,Southern Illinois University,,N/A
Circle K Cycles,2,"Yamashita, Karen Tei",,,,2001,Short Story(ies)/Prose Nonfiction,Coffee House Press,,N/A
Citizen 13660,11,"Okubo, Miné",,,,1946,Graphic Narrative,Columbia University Press,American Book Award,N/A
Clay Walls,4,"Kim, Ronyoung",,,,1986,Novel,Permanent Press,,N
Clear Light of Day,1,"Desai, Anita",,,,1980,Novel,Harper & Row,,N
Cleveland Raining,1,"Rno, Sung",,,,1995,Drama,East West Players,,N/A
Cloud Atlas,1,"Wachowski, Lana","Tykwer, Tom","Wachowski, Lilly",,2012,Film,Warner Brothers Pictures,"Critics Choice Award, Saturn Award, Bavarian Film Award, and more",N/A
Colors of the Mountain,1,"Chen, Da",,,,2000,Prose Nonfiction,Random House,,N/A
Come See the Paradise,1,"Parker, Alan",,,,1990,Film,20th Century Fox,,N/A
Comfort Woman,14,"Keller, Nora Okja",,,,1997,Novel,Viking,American Book Award,N
Congaï,1,"Hervey, Harry",,,,1927,Novel,Cosmopolitan Book Co.,,N
Congressman from India,2,"Saund, Dalip Singh",,,,1960,Prose Nonfiction,Dutton,,N/A
Corpse and Mirror,2,"Yau, John",,,,1983,Poetry,Holt Rinehart and Winston,,N/A
Country Of Origin,3,"Lee, Don",,,,2004,Novel,W. W. Norton & Co,American Book Award,N
Cover Me,1,"Tamaki, Mariko",,,,2000,Novel,McGilligan Books,,N
Crash,1,"Haggis, Paul",,,,2004,Film,Lions Gate Films,Academy Awards,N/A
Crazy Rich Asians,2,"Chu, Jon M.",,,,2018,Film,Warner Brothers,Critics' Choice Award Best Comedy,N/A
Crazy Rich Asians,1,"Kwan, Kevin",,,,2013,Novel,Doubleday,,N
Crippled Tree,1,"Suyin, Han",,,,1965,Prose Nonfiction,GP Putnam's,,N/A
Crossing Canal Street,1,"Yau, John",,,,1976,Poetry,Bellevue Press,,N/A
Crossings,1,"Chuang, Hua",,,,1968,Novel,The Dial Press,,N
Cú và chim se se [The Owl and the Sparrow],1,"Gauger, Stephane",,,,2007,Film,Wave Releasing,,N/A
Cultural Revolution,1,"Wong, Norman",,,,1994,Short Story(ies),Persea Books,,N
Cut,1,"Park, Chanwook",,,,2004,Film,CJ Entertainment,,N/A
Da Word,1,"Tonouchi, Lee A.",,,,2001,Short Story(ies),Bamboo Ridge Press,,N
Dance Dance Revolution,1,"Hong, Cathy Park",,,,2007,Poetry,Norton,Barnard Women Poets Prize,N/A
Danger and Beauty,1,"Hagedorn, Jessica",,,,1993,Poetry/Prose Nonfiction/Short Story(ies),Penguin,,N/A
Dangerous Music,1,"Hagedorn, Jessica",,,,1975,Poetry,Momo's Press,,N/A
Dark Blue Suit and other Stories,1,"Bacho, Peter",,,,1997,Short Story(ies),University of Washington Press,,N
Dark Princess,2,"DuBois, W.E.B.",,,,1928,Novel,Harcourt Brace,,N/A
Darkness,1,"Mukherjee, Bharati",,,,1985,Short Story(ies),Fawcett Press,,N
Daruma Days,1,"Watada, Terry",,,,1997,Short Story(ies),Ronsdale Press,,N
Daughter from Danang,4,"Dolgin, Gail","Franco, Vicente",,,2002,Film,Balcony Releasing,Sundance Film Festival Grand Jury Prize,N/A
Daughter of the River,1,"Ying, Hong",,,,1997,Prose Nonfiction,Erya Press Taiwan,,N/A
Day after Tomorrow,1,"Tejani, Bahadur",,,,1971,Novel,East African Literature Bureau,,N
Days of Awe,1,"Obejas, Achy",,,,2001,Novel,Ballantine Books,,N
Days of Obligation,1,"Rodriguez, Richard",,,,1982,Prose Nonfiction,David R Godine,,N/A
"Dear Friend, from My Life I Write to You in Your Life",1,"Li, Yiyun",,,,2017,Prose Nonfiction,Random House,,N/A
Death of a Salesman,1,"Miller, Arthur",,,,1949,Drama,Broadway,"Pulitzer Prize, Tony Awards",N/A
Desert Exile,1,"Uchida, Yoshiko",,,,1982,Prose Nonfiction,University of Washington Press,,N/A
Desert Run,1,"Yamada, Mitsuye",,,,1988,Poetry/Short Story(ies),Kitchen Table/Women of Color,,N/A
Deus Ex: Human Revolution,2,,,,,2011,Video Game,Square Enix Europe,,N/A
Dick Ho: Asian Male Porn Star,1,"Lei, Jeffrey",,,,2005,Film,,,N/A
Dictee,22,"Cha, Theresa Hak Kyung",,,,1982,Prose Nonfiction/Poetry,Tanam Press,,N/A
Digging to America,1,"Tyler, Anne",,,,2006,Novel,Knopf,,Y
Dim Sum: A Little Bit of Heart,1,"Wang, Wayne",,,,1985,Film,Orion Classics,,N/A
Disintegration 93-96,1,"Revereza, Miko",,,,2017,Film,,,N/A
Dispatches,1,"Herr, Michael",,,,1977,Prose Nonfiction,Knopf,,N/A
Dogeaters,18,"Hagedorn, Jessica",,,,1989,Novel,Pantheon Books,American Book Award,N
Doki Doki Literature Club!,1,Dan Salvato,,,,2017,Video Game,,"IGN People's Choice Best PC Game, Matthew Crump Cultural Innovation Award",N/A
Domestic Tension,1,"Bilal, Wafaa",,,,2007,Drama,FLATFILEgalleries,,N/A
Don't Stop Believin': Everyman's Journey,1,"Diaz, Ramona S.",,,,2012,Film,,"Audience Award Traverse Film Festival, Audience Award New Hampshire Film Festival, Audience Award Palm Springs International Film Festival",N/A
Donald Duk,6,"Chin, Frank",,,,1991,Novel,Coffee House Press,,N
Dòng máu anh hùng [The Rebel],1,"Nguyễn, Charlie",,,,2007,Film,Cinema Pictures,,N/A
Double Happiness,2,"Shum, Mina",,,,1994,Film,Fine Line Features,,N/A
Double Luck: Memoirs of a Chinese Orphan,1,"Fa, Lu Chi","White, Becky",,,2000,Prose Nonfiction,Holiday House,,N/A
Dragonfish,1,"Tran, Vu",,,,2015,Novel,W. W. Norton,,N
Dragonwings,1,"Yep, Laurence",,,,1975,Novel,Harper & Row,,N
Dream Jungle,1,"Hagedorn, Jessica",,,,2003,Novel,Viking,,N
dream/arteries,1,"Dulai, Phinder",,,,2014,Poetry,Talonbooks,,N/A
DreamEden,1,"Ty-Casper, Linda",,,,1996,Novel,University of Washington Press,,N
Drown,1,"Díaz, Junot",,,,1996,Short Story(ies),Riverhead,,N
Dumpling Days,1,"Lin, Grace",,,,2012,Novel,"Little, Brown",,N
Dura,1,"Kim, Myung Mi",,,,1999,Poetry,Sun & Moon Press,,N/A
Durango,2,"Cho, Julia",,,,2006,Drama,Long Wharf Theater,,N/A
Dwarf Bamboo,1,"Chin, Marilyn",,,,1987,Poetry,Greenfield Review Press,,N/A
Earshot,1,"Hahn, Kimiko",,,,1992,Poetry,Hanging Loose Press,,N/A
Earth,1,"Cha, Theresa Hak Kyung",,,,1973,Artist Book,,,N/A
East and West,1,"Fenollosa, Ernest",,,,1893,Poetry,T.Y. Croweel and Co.,,N/A
East Goes West,14,"Kang, Younghill",,,,1937,Novel,Scribner,,N
East Is West,1,"Bell, Monta",,,,1930,Film,Universal Pictures,,N/A
East of Eden,1,"Steinbeck, John",,,,1952,Novel,Viking,,Y
East-West Quartet,1,"Chong, Ping",,,,2004,Drama,Theatre Communications Group,,N/A
Eat a Bowl of Tea,6,"Chu, Louis",,,,1961,Novel,Lyle Stuart,,N
Eat a Bowl of Tea,1,"Wang, Wayne",,,,1989,Film,Columbia Pictures,,N/A
Eating Chinese Food Naked,3,"Ng, Mei",,,,1998,Novel,Scribner,,N
Eating with Lola,1,"Hernandez, Catherine",,,,,Drama,Fu-Gen Canadian Theater Company,,N/A
Echoes of the White Giraffe,1,"Choi, Sook Nyul",,,,1993,Novel,Houghton Mifflin Harcourt,,N
Eclipse,1,"Leong, Russell",,,,2000,Short Story(ies),University of Washington Press,,N
Edinburgh,1,"Chee, Alexander",,,,2001,Novel,Picador,Asian American Literary Award,N
El  ciruelo de Yuan Pei Fu,1,"Pedroso, Regino",,,,1955,Poetry,NA,,N/A
El filibusterismo,2,"Rizal, José",,,,1891,Novel,F. Meye van Loo Press,,N/A
Empathy,1,"Berssenbrugge, Mei-mei",,,,1989,Poetry,Station Hill Press,,N/A
Empire of the Sun,1,"Ballard, J. G.",,,,1984,Novel,Gollancz,,N
Endocrinology,1,"Berssenbrugge, Mei-mei",,,,1997,Poetry,Kelsey Street Press,Asian American Literary Award,N/A
Enter the Dragon,1,"Clouse, Robert",,,,1973,Film,Golden Harvest,,N/A
Everything Everywhere All at Once,1,"Kwan, Daniel","Scheinert, Daniel",,,2022,Film,A24,"Academy Award Best Picture, Academy Award Best Original Screenplay, Hugo Award, and more",N/A
Everything I Never Told You,1,"Ng, Celeste",,,,2014,Novel,Penguin,Asian/Pacific American Award,N
Ex Machina,1,"Garland, Alex",,,,2015,Film,A24,"Academy Award, British Independent Film Award, Critics Choice Award, and more",N/A
Exit West,1,"Hamid, Mohsin",,,,2017,Novel,Riverhead,"Los Angeles Times Book Prize, Aspen Words Literary Prize",Y
Expounding the Doubtful Points ,1,"Lum, Wing Tek",,,,1987,Poetry,Bamboo Ridge Press,American Book Award,N/A
Face,1,"Liu, Aimee",,,,1994,Novel,Warner Books,,N
Face,1,"Pan, Bertha Bay-Sa",,,,2002,Film,Indican Pictures,GenArt Film Festival Audience Award,N/A
Facing the Mirror: Lesbian Writing from India,1,"Sukthankar, Ashwini",,,,1999,Anthology,Penguin,,N/A
Fake House,1,"Dinh, Linh",,,,2000,Short Story(ies),Seven Stories Press,,N
Falling Leaves,2,"Mah, Adeline Yen",,,,1998,Prose Nonfiction,John Wiley & Sons,,N/A
Family Devotions,1,"Hwang, David Henry",,,,1981,Drama,Joseph Papp Public Theater,,N/A
Farewell to Manzanar,5,"Houston, Jeanne Wakatsuki","Houston, James D.",,,1973,Prose Nonfiction,Houghton Mifflin,,N/A
"Farewell, Theresa",1,"Cha, John",,,,2016,Prose Nonfiction,Munhaksegyesa ,,N
"Fasting, Feasting",1,"Desai, Anita",,,,1999,Novel,Houghton Mifflin Harcourt,,N
Father and Glorious Descendant,2,"Lowe, Pardee",,,,1943,Prose Nonfiction,"Little, Brown, and Company",,N/A
Father of the Four Passages,1,"Yamanaka, Lois-Ann",,,,2001,Novel,"Farrar, Strauss & Giroux",,N
Fault Lines,5,"Alexander, Meena",,,,1993,Prose Nonfiction,Feminist Press,,N/A
Fifth Chinese Daughter,20,"Wong, Jade Snow",,,,1950,Prose Nonfiction,Scholastic,,N/A
Fight Club,1,"Fincher, David",,,,1999,Film,Fox 200 Pictures,,N/A
Fight Club,1,"Palahniuk, Chuck",,,,1996,Novel,W. W. Norton & Company,"Oregon Book Award, Pacific Northwest Booksellers Association Award",N
Fire,1,"Mehta, Deepa",,,,1996,Film,Zeitgeist Films,,N/A
First Person Plural,4,"Liem, Deann Borshay",,,,2000,Film,PBS,Golden Spire San Francisco International Film Festival,N/A
First They Killed My Father,2,"Ung, Loung",,,,2000,Prose Nonfiction,HarperCollins,Asian/Pacific American Librarians Association Award,N/A
Fixer Chao,3,"Ong, Han",,,,2001,Novel,"Farrar, Strauss & Giroux",,N
Flower Drum Song,4,"Hammerstein, Oscar","Rodgers, Richard",,,1958,Drama,St. James Theatre,Tony Awards,N/A
Flower Drum Song,1,"Koster, Henry",,,,1961,Film,Universal-International,,N/A
Flower of Ancestry,1,"Chan, Celeste",,,,2019,Anthology,Foglifter Press,,N
FOB,2,"Hwang, David Henry",,,,1980,Drama,Joseph Papp Public Theater,,N/A
Food for All His Dead,1,"Chin, Frank",,,,1962,Short Story(ies),Contact Magazine,,N
For Matrimonial Purposes,1,"Daswani, Kavita",,,,2003,Novel,Plume,,N
For Rouenna,1,"Nunez, Sigrid",,,,2001,Novel,Picador,,N
For Today I Am a Boy,2,"Fu, Kim",,,,2015,Novel,Houghton Mifflin Harcourt,,N
Forage,1,"Wong, Rita",,,,2007,Poetry,Nightwood Editions,Dorothy Livesay Book Prize,N/A
Forever Bottom!,1,"Nguyen, Tan Hoang",,,,1999,Film,,,N/A
Forgery,1,"Murray, Sabina",,,,2007,Novel,Grove,,N
Fortress in the Rice,1,"Appel, Benjamin",,,,1951,Novel,Bobbs-Merrill,,N
Fortune Cookies: In Search of Asian America,1,"Tajima-Peña, Renee",,,,1995,Film,,,N/A
Found,1,"Thammavongsa, Souvankham",,,,2007,Poetry,Pedlar Press,,N/A
Four Year Old Girl,1,"Berssenbrugge, Mei-mei",,,,1998,Poetry,Kelsey Street Press,,N/A
Fox Girl,4,"Keller, Nora Okja",,,,2002,Novel,Viking,,N
Free Food for millionaires,1,"Lee, Min Jin",,,,2007,Novel,Warner Books,,N
Fresh off the Boat,1,"Huang, Eddie",,,,2013,Prose Nonfiction,Spiegel & Grau,,N/A
Fresh off the Boat,1,"Khan, Nahnatchka",,,,2015-2020,Television,ABC,Young Artist Awards,N/A
Fresh off the Show,1,"Yu, Phil",,,,2015-2016,Online Video,YouTube,,N/A
From Hollywood to Hanoi,2,"Alexandra, Tiana",,,,1992,Film,Indochina Film Arts Foundation,,N/A
From the Memoirs of a Non-Enemy Combatant,1,"Gilvarry, Alex",,,,2011,Novel,Viking,Hornblower Award,N
from unincorporated territory,1,"Santos Perez, Craig",,,,2008-2017,Poetry,"Tinfish, Omnidawn",,N/A
Front Desk,1,"Yang, Kelly",,,,2018,Novel,Scholastic,Asian/Pacific American Award for Children's Literature,N
Frontiers of Love,1,"Chang, Diana",,,,1956,Novel,Random House,,N
Fu Manchu,1,"Rohmer, Sax",,,,,Novel,Methuen,,N/A
Fuel,1,"Nye, Naomi Shihab",,,,1998,Poetry,BOA Editions,,N/A
Fugitive Visions,1,"Trenka, Jane Jeong",,,,2009,Prose Nonfiction,Graywolf Press,,N/A
Funny Boy,2,"Selvadurai, Shyam",,,,1994,Novel,McClelland & Stewart,,N
Funny in Farsi: A Memoir of Growing Up Iranian in America,1,"Dumas, Firoozeh",,,,2003,Prose Nonfiction,Villard,,Y
Fusang,1,"Yan, Geling",,,,1995,Novel,,,N
Gathering of Pearls,1,"Choi, Sook Nyul",,,,1994,Novel,Houghton Mifflin Harcourt,,N
Genghis Chan: Private Eye,1,"Yau, John",,,,1989-2012,Poetry,"Black Sparrow Press, Copper Canyon Press",,N/A
George Washington Gómez,2,"Paredes, Américo",,,,1990,Novel,Arte Público,,N
Ghana Must Go,1,"Selasi, Taiye",,,,2013,Novel,Penguin,,N
Girl in a Box,1,"Massey, Sujata",,,,2006,Novel,HarperCollins,,N
Girl in Translation,1,"Kwok, Jean",,,,2010,Novel,Riverhead,,N
God of Luck,1,"McCunn, Ruthanne Lum",,,,2007,Novel,Soho Press,,N
Goddess for Hire,3,"Singh, Sonia",,,,2004,Novel,HarperCollins,,N
Godzilla,1,"Edwards, Gareth",,,,2014,Film,Warner Brothers,,N/A
"Gold Boy, Emerald Girl",1,"Li, Yiyun",,,,2010,Short Story(ies),Random House,,N
Gold by the Inch,3,"Chua, Lawrence",,,,1998,Novel,Grove Press,,N
Gold Watch,1,"Iko, Momoko",,,,1972,Drama,Inner City Cultural Center,,N/A
Good as Lily,1,"Kim, Derek Kirk","Hamm, Jesse",,,2007,Graphic Narrative,Minx,,N/A
"Good Job, Kanani",1,"Yee, Lisa",,,,2011,Novel,American Girl Publishing,,N
Gran Torino,1,"Eastwood, Clint",,,,2008,Film,Warner Bros. Pictures,"National Board of Review Award, Cesar Award",N/A
Griever: An American Monkey King in China,1,"Vizenor, Gerald",,,,1987,Novel,Illinois State University,American Book Award,N
Halving the Bones,3,"Ozeki, Ruth",,,,1995,Film,,,N/A
Handmade: Stories of Strength Shared through Recipes from the Women of Sri Lanka,1,"Roberts, Anjali",,,,2015,Prose Nonfiction,OMNE Publishing,,N/A
Hansu's Journey,1,"Jaisohn, Philip",,,,,Novel,Korea Review,,N
Hapa Girl,1,"Chai, May-Lee",,,,2007,Prose Nonfiction,Temple University Press,Kiriyama Prize Notable Book,N
"Have Come, Am Here",1,"Villa, José Garcia",,,,1942,Poetry,Viking,,N/A
Hearts of Sorrow: Vietnamese-American Lives,1,"Freeman, James M., ed.",,,,1989,Prose Nonfiction,Stanford University Press,American Book Award; Association for Asian American Studies Book Award,N/A
Heaven and Earth,1,"Stone, Oliver",,,,1993,Film,Warner Brothers,,N/A
Heaven Will Be Mine,1,"Bee, Aevee",,,,2018,Video Game,,,N/A
Her Wild American Self,1,"Galang, M. Evelina",,,,1996,Short Story(ies),Coffee House Press,,N
Hi no yō ni samishii ane ga ite,1,"Kunio, Shimizu",,,,1978,Drama,,,N/A
Hiddenness,1,"Berssenbrugge, Mei-mei",,,,1987,Poetry,Library Fellows of the Whitney Museum of American Art,,N/A
Hiroshima mon amour,1,"Resnais, Alain",,,,1959,Film,Cocinor,"Grand Prix Belgian Film Critics Association, FIPRESCI International Critics' Prize",N/A
History and Memory,1,"Tajiri, Rea",,,,1971,Film,Women Make Movies,,N/A
History of a Voyage to the China Sea,1,"Hervey, Harry",,,,,,,,
Home to India,1,"Rau, Santha Rama",,,,1945,Prose Nonfiction,Harper,,N/A
Home Was the Land of Morning Calm,2,"Kang, K. Connie",,,,1995,Prose Nonfiction,Da Capo Press,,N/A
Homebase,5,"Wong, Shawn",,,,1979,Novel,Bookpeople/University of Washington Press,,N
Hotelier [호텔리어],1,"Eun-kyung, Kang",,,,2001,Television,Munhwa Broadcasting Corporation,,N/A
House Made of Dawn,1,"Momaday, N. Scott",,,,1968,Novel,Harper & Row,Pulitzer Prize,N
How I Became a North Korean,1,"Lee, Krys",,,,2016,Novel,Viking,,N
How the García Girls Lost Their Accents,1,"Alvarez, Julia",,,,1992,Novel,Algonquin Books,,N
How to Live Safely in a Science Fictional Universe,2,"Yu, Charles",,,,2010,Novel,Pantheon,,N
Howl,1,"Ginsberg, Allen",,,,1956,Poetry,City Lights Books,,N/A
Hulk,1,"Lee, Ang",,,,2003,Film,Universal Pictures,,N/A
Humanimal,1,"Kapil, Bhanu",,,,2009,Poetry/Prose fiction,Kelsey Street Press,,N/A
Hunger,3,"Chang, Lan Samantha",,,,1998,Short Story(ies),W. W. Norton & Company,,N
Hunger of Memory,2,"Rodriguez, Richard",,,,1982,Prose Nonfiction,Viking,Pulitzer Prize,N/A
I Dream of Chang & Eng,1,"Gotanda, Philip Kan",,,,2011,Drama,Zellerbach Playhouse,,N/A
I Hotel,7,"Yamashita, Karen Tei",,,,2010,Novel,Coffee House Press,"American Book Award, Asian/Pacific American Award for Literature, Association for Asian American Studies Book Award",N
I Love Artists,1,"Chin, Marilyn",,,,,,,,
I Want the Wide American Earth: An Asian Pacific American E-Comic,1,Smithsonian Asian Pacific American Center/Secret Identities Collective,,,,2013,Exhibition,Smithsonian Asian Pacific American Center,,N/A
I'm the One That I Want,1,"Cho, Margaret",,,,1999,Film,Cho Taussig Productions/Vagrant Films,,N/A
I've Come a Long Way,1,"Kuo, Helena",,,,1942,Prose Nonfiction,D. Appleton Century,,N/A
Iep Jāltok: Poems from a Marshallese Daughter,1,"Jetñil-Kijiner, Kathy",,,,2017,Poetry,University of Arizona Press,,N/A
Ilustrado,1,"Syjuco, Miguel",,,,2010,Novel,"Farrar, Straus, and Giroux","Man Asian Literary Prize, Grand Prize Palanca Awards",N
In an Antique Land,1,"Ghosh, Amitav",,,,1992,Prose Nonfiction,Alfred Knopf,,N/A
In Order to Live: A North Korean Girl's Journey to Freedom,1,"Park, Yeonmi",,,,2015,Prose Nonfiction,Penguin,,N/A
In the Country,1,"Alvar, Mia",,,,2015,Short Story(ies),Knopf Doubleday,"PEN/Robert W. Bingham Prize, Janet Heidinger Kafka Prize, Barnes & Noble Discover Great New Writers Award
",N
In the Heart of the Valley of Love,1,"Kadohata, Cynthia",,,,1992,Novel,Viking,,N/A
In the Matter of Cha Jung Hee,1,"Liem, Deann Borshay",,,,2010,Film,Mu Films / Independent Television Service,"Special Jury Award Best Director Los Angeles Asian Pacific Film Festival, Best Editing Los Angeles Asian Pacific Film Festival",N/A
In the Name of the Emperor,1,"Choy, Christine","Tong, Nancy",,,1998,Film,Filmmakers Library,,N/A
In the Time of the Butterflies,1,"Alvarez, Julia",,,,1994,Novel,Algonquin Books,,N
Inside Out,1,"Lau, Evelyn",,,,2001,Prose Nonfiction,Doubleday,,N/A
Inside Out and Back Again,2,"Lai, Thanhha",,,,2011,Novel,HarperCollins,"National Book Award, Newbery Honor, Jane Addams Children's Book Award",
Insomnia and the Aunt,1,"Lin, Tan",,,,2011,Poetry,Kenning Editions,,N/A
Interpreter of Maladies,7,"Lahiri, Jhumpa",,,,1999,Short Story(ies),Houghton Mifflin,Pulitzer Prize; PEN Hemingway Award,N
Intruder in the Dust,1,"Faulkner, William",,,,1948,Novel,Random House,,N
Invisible Man,1,"Ellison, Ralph",,,,1952,Novel,Random House,National Book Award,Y
Irrawaddy Tango,2,"Law-Yone, Wendy",,,,1993,Novel,Alfred A. Knopf,,N
Itsuka,1,"Kogawa, Joy",,,,1992,Novel,Anchor,,N
Jake Shimabukuro: Life on Four Strings,1,"Nakamura, Tadashi",,,,2012,Film,Center for Asian American Media,"Best Documentary Audience Award Ashland Independent Film Festival, Best Medium Length Film DocuWest Film Festival, Best Documentary Audience Award Los Angeles Asian Pacific Film Festival",N/A
Jane Eyre,1,"Brontë, Charlotte",,,,1847,Novel,"Smith, Elder, & Co",,N
Japanese Hokkus,1,"Noguchi, Yone",,,,1920,Poetry,Four Seas,,N/A
Japanese War Bride,1,"Vidor, King",,,,1952,Film,20th Century Fox,,N/A
Jasmine,13,"Mukherjee, Bharati",,,,1989,Novel,Grove/Atlantic,,N
"Jewish Portraits, Indian Frames",1,"Silliman, Jael",,,,2001,Prose Nonfiction,Brandeis University Press,,N/A
Jimmy Kimmel Live!,1,"Kimmel, Jimmy",,,,2013,Television,ABC,"Primetime Emmy Award, Critics Choice Award",N/A
K-Town,1,"Choi, Eugene","Kim, Eddie","Le, Mike",,2012-2013,Television,Loud,,N/A
Kāmāgāṭā Mārū,1,"Rode, Ajmer",,,,1979,Drama,Watno Dur Art Foundation,,N/A
Karma and Other Stories,1,"Reddi, Rishi",,,,2007,Short Story(ies),Ecco,PEN New England/L. L. Winship Prize,N
Kelly Loves Tony,1,"Nakasako, Spencer",,,,,Film,Center for Asian American Media,,N/A
Killing and Dying,1,"Tomine, Adrian",,,,2015,Graphic Narrative,Drawn & Quarterly,"Eisner Award Best Short Story, Story Prize Spotlight Award",N/A
Kim's Convenience,1,"Choi, Ins",,,,2011,Drama,Toronto Fringe Festival,"Best New Play Toronto Fringe Festival, Patron's Pick Award Toronto Fringe Festival",N/A
Kimchee and Chitlins,1,"Wong, Elizabeth",,,,1993,Drama,Victoria Gardens Theatre Chicago,,N/A
Kimchi & Calamari,1,"Kent, Rose",,,,2007,Novel,HarperCollins,,
Kind Ness,1,"Chong, Ping",,,,1986,Drama,La MaMa E.T.C.,,N/A
Kinesen,1,"Mankell, Henning",,,,2007,Novel,Leopold Forlag / Knopf,,Y
King Kongmin/Murder in the Royal Palace,1,"Kang, Younghill",,,,1964,Drama,,,N/A
King of Jazz,1,"Anderson, John Murray",,,,1930,Film,Universal Pictures,Academy Award Best Art Direction,N/A
Kitchen Chinese,1,"Mah, Ann",,,,2010,Novel,HarperCollins,,N
Knowing Her Place,1,"Krishnan, Indu",,,,1990,Film,,,N/A
KPOP,1,"Kim, Jason",,,,2017,Drama,Ars Nova,"Richard Rogers Award, Off-Broadway Alliance Award, Lucille Lortel Award for Outstanding Musical",N/A
Ktown Cowboys,1,"Park, Daniel",,,,2009,Television,YouTube,Los Angeles Asian Pacific Film Festival Prize,N/A
Kubi Dake Ni Natte Mo [Moro's Head],1,"Nakashima, Sho",,,,,Visual Art,,,N/A
